"   ","GPMS_ID","REGION","COUNTRY"
"137","003833","US","US"
"138","100185","CA","CA"
"139","003972","US","US"
"140","000646","US","US"
"141","003416","US","US"
"142","004821","US","US"
"143","004736","US","US"
"144","001534","US","US"
"145","001424","US","US"
"146","000645","US","US"
"147","300703","EU","EU"
"148","000138","US","US"
"149","001425","US","US"
"150","000270","US","US"
"151","001994","US","US"
"152","000940","US","US"
"153","000374","US","US"
"154","000727","US","US"
"155","000326","US","US"
"156","001426","CA","CA"
"157","003915","US","US"
"158","000674","US","US"
"159","001995","CA","CA"
"160","100301","CA","CA"
"161","001179","US","US"
"162","000299","US","US"
"163","001463","US","US"
"164","100399","CA","CA"
"165","001723","EU","EU"
"166","001406","US","US"
"167","100231","CA","CA"
"168","002529","EU","EU"
"169","000424","US","US"
"170","001408","US","US"
"171","001656","US","US"
"172","004873","US","US"
"173","001428","US","US"
"174","300425","EU","EU"
"175","001655","US","US"
"176","001074","US","US"
"177","100703","CA","CA"
"178","000203","US","US"
"179","004861","US","US"
"180","003200","US","US"
"181","000192","US","US"
"182","000633","US","US"
"183","000425","US","US"
"184","100463","CA","CA"
"185","000579","US","US"
"186","001657","EU","EU"
"187","100501","CA","CA"
"188","003871","US","US"
"189","300280","EU","EU"
"190","000233","US","US"
"191","000260","US","US"
"192","000663","US","US"
"193","100428","CA","CA"
"194","000488","US","US"
"195","100322","CA","CA"
"196","100191","CA","CA"
"197","300364","EU","EU"
"198","001266","EU","EU"
"199","003913","US","US"
"200","000974","EU","EU"
"201","000148","US","US"
"202","000280","US","US"
"203","001958","CA","CA"
"204","300575","EU","EU"
"205","300714","US","US"
"206","000541","US","US"
"207","001264","EU","EU"
"208","004716","US","US"
"209","000695","US","US"
"210","000545","US","US"
"211","300445","EU","EU"
"212","000343","US","US"
"213","004687","US","US"
"214","300360","EU","EU"
"215","001488","US","US"
"216","100412","CA","CA"
"217","002362","EU","EU"
"218","001289","US","US"
"219","001786","CA","CA"
"220","001588","US","US"
"221","002129","US","US"
"222","000472","US","US"
"223","000591","US","US"
"224","004688","US","US"
"225","001959","EU","EU"
"226","300561","EU","EU"
"227","000238","US","US"
"228","100449","CA","CA"
"229","003892","US","US"
"230","002179","EU","EU"
"231","000458","US","US"
"232","003646","US","US"
"233","001190","US","US"
"234","300817","US","US"
"235","001439","US","US"
"236","100397","CA","CA"
"237","000136","US","US"
"238","001798","EU","EU"
"239","003029","US","US"
"240","300907","EU","EU"
"241","300462","EU","EU"
"242","000964","US","US"
"243","002623","EU","EU"
"244","000966","US","US"
"245","000271","US","US"
"246","000592","US","US"
"247","004723","US","US"
"248","000617","US","US"
"249","304649","EU","EU"
"250","000779","US","US"
"251","001430","US","US"
"252","001160","US","US"
"253","100271","CA","CA"
"254","100101","CA","CA"
"255","302795","CA","CA"
"256","001540","US","US"
"257","001161","CA","CA"
"258","302804","CA","CA"
"259","300382","EU","EU"
"260","000242","US","US"
"261","001675","EU","EU"
"262","100452","CA","CA"
"263","300835","EU","EU"
"264","002402","US","US"
"265","000704","US","US"
"266","000980","US","US"
"267","300528","EU","EU"
"268","100229","CA","CA"
"269","003876","US","US"
"270","001525","US","US"
"271","300785","EU","EU"
"272","100203","CA","CA"
"273","000566","US","US"
"274","001784","US","US"
"275","002030","US","US"
"276","002369","US","US"
"277","000415","US","US"
"278","000217","US","US"
"279","000293","US","US"
"280","000777","US","US"
"281","300398","EU","EU"
"282","001736","EU","EU"
"283","001727","US","US"
